epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3846.73,1.19826,0.49003,1.06505,0.97096,0.83883,0.86899,0.50568,1.65741,0.94699,1.08653,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,4228.75,1.19635,0.48951,1.06577,0.97228,0.83775,0.86887,0.50572,1.65775,0.94637,1.08645,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,4612.13,1.19441,0.48367,1.06472,0.97247,0.8377,0.86938,0.50579,1.65731,0.94658,1.08638,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,4993.06,1.18817,0.48158,1.06263,0.97228,0.83792,0.86942,0.50596,1.65675,0.94727,1.08626,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5376.47,1.18167,0.47866,1.05804,0.97074,0.83851,0.86926,0.50609,1.65622,0.94834,1.08614,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,5759.92,1.17424,0.47279,1.05714,0.97008,0.83868,0.86834,0.50601,1.6558,0.95078,1.08594,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6142.31,1.16639,0.46608,1.05418,0.96993,0.83792,0.86606,0.50532,1.65539,0.95891,1.08593,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6526.29,1.16824,0.4649,1.05301,0.96862,0.83797,0.86336,0.50408,1.65576,0.97767,1.08591,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6909.22,1.16231,0.46187,1.04991,0.96935,0.83701,0.86099,0.50335,1.6561,0.99147,1.08583,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,417.229,1.12774,0.42223,1.04796,0.96805,0.83743,0.86096,0.50328,1.65608,0.98665,1.08591,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,805.244,1.11844,0.41787,1.04284,0.96667,0.83711,0.86099,0.50375,1.65584,0.98276,1.0858,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1185.32,1.11247,0.41359,1.04169,0.96514,0.83808,0.86158,0.50416,1.6553,0.98085,1.08566,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1564.96,1.10382,0.40948,1.03755,0.96556,0.83711,0.86152,0.50386,1.65502,0.9823,1.08557,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1958.23,1.09494,0.40312,1.03679,0.96355,0.83786,0.86107,0.50382,1.65609,0.98708,1.08569,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2355.71,1.08567,0.40013,1.03197,0.9629,0.83765,0.86044,0.50383,1.6569,0.99327,1.08569,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,398.532,1.13399,0.4411,1.04091,0.96222,0.83716,0.86077,0.50432,1.65764,0.99059,1.08578,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,786.869,1.12674,0.43768,1.03669,0.96271,0.83656,0.8611,0.5045,1.65857,0.98951,1.08615,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,1175.25,1.12918,0.4359,1.03851,0.96305,0.83609,0.86165,0.50422,1.65882,0.98944,1.08618,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,1564.91,1.12254,0.43311,1.03744,0.96293,0.83554,0.86206,0.50449,1.65994,0.98944,1.08646,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
